salinity,turbidity,ORP,PH,TDS,Pressure in,Pressure out,pump current,Human Counter,temperature,water level,Human Diff
284.969,4.65527,788.065,7.42965,284.969,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
285.005,4.65527,788.607,7.43155,285.005,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
284.933,4.65527,788.336,7.43282,284.933,2.53997,2.53798,0.0,0.0,74.2574,500.0,0.0
285.023,4.65527,788.336,7.42965,284.987,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
285.005,4.65527,788.065,7.42965,285.005,2.53979,2.53816,5.233e-05,0.0,74.2574,500.0,0.0
284.969,5.43896,787.703,7.42965,284.969,2.53961,2.53852,0.0,0.0,74.2574,500.0,0.0
284.426,6.37939,787.884,7.42839,284.426,2.53762,2.53545,0.0,0.0,74.2574,500.0,0.0
284.535,6.37939,787.794,7.43218,284.535,2.53689,2.53545,0.0,0.0,74.2574,500.0,0.0
284.517,6.22266,788.246,7.44927,284.517,2.53689,2.53526,0.0,0.0,74.2574,500.0,0.0
284.86,5.28223,788.336,7.42269,284.897,2.53852,2.53689,0.0,0.0,74.2574,500.0,0.0
284.824,5.5957,788.427,7.44358,284.824,2.53924,2.53725,0.0,0.0,74.2574,500.0,0.0
284.806,5.5957,788.246,7.42522,284.806,2.5387,2.53671,0.0,0.0,74.2574,500.0,0.0
284.987,4.65527,787.974,7.43155,284.987,2.53924,2.53834,0.0,0.0,74.2574,500.0,0.0
285.005,4.65527,787.974,7.45307,285.005,2.53942,2.5378,0.0,0.0,74.2574,500.0,0.0
284.951,5.12549,788.065,7.42649,284.987,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
285.023,5.28223,788.065,7.45434,285.023,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.951,5.28223,788.155,7.45813,284.951,2.53997,2.5378,0.0,0.0,74.2574,500.0,0.0
285.023,5.28223,788.607,7.42395,285.023,2.53924,2.5378,0.0,0.0,74.2574,500.0,0.0
285.005,5.12549,787.794,7.43218,285.005,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.951,5.43896,788.065,7.4537,284.951,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.969,4.96875,787.884,7.42902,284.951,2.53961,2.53834,0.0,0.0,74.2574,500.0,0.0
284.897,4.81201,787.884,7.43155,284.897,2.53653,2.53472,0.0,0.0,74.2574,500.0,0.0
284.463,6.06592,788.246,7.43535,284.463,2.53689,2.53508,0.0,0.0,74.2574,500.0,0.0
284.444,5.90918,788.065,7.43028,284.444,2.53725,2.53526,0.0,0.0,74.2574,500.0,0.0
284.607,5.90918,788.155,7.44991,284.607,2.5378,2.53635,0.0,0.0,74.2574,500.0,0.0
284.842,6.06592,788.155,7.43028,284.842,2.53888,2.53707,0.0,0.0,74.2574,500.0,0.0
284.842,5.28223,788.065,7.42459,284.842,2.53852,2.53707,0.0,0.0,74.2574,500.0,0.0
284.77,5.5957,787.432,7.43092,284.77,2.5387,2.53689,0.0,0.0,74.2574,500.0,0.0
284.969,5.12549,787.974,7.42712,284.969,2.53997,2.53798,0.0,0.0,74.2574,500.0,0.0
285.059,4.81201,787.703,7.42712,285.059,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
285.005,4.96875,788.336,7.43978,285.005,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.951,4.65527,787.794,7.43155,284.951,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.969,4.81201,787.522,7.42839,284.969,2.53961,2.53816,0.0,0.0,74.2574,500.0,0.0
285.023,4.96875,787.703,7.43155,285.023,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.951,4.96875,787.522,7.43408,284.951,2.53924,2.53816,0.0,0.0,74.2574,500.0,0.0
284.933,5.12549,787.703,7.42712,284.933,2.53924,2.53816,0.0,0.0,74.2574,500.0,0.0
285.023,4.96875,787.974,7.42332,285.023,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
284.987,4.96875,788.065,7.43092,284.987,2.53653,2.53526,0.0,0.0,74.2574,500.0,0.0
284.481,6.06592,787.07,7.46193,284.481,2.53725,2.53545,0.0,0.0,74.2574,500.0,0.0
284.481,6.53613,787.07,7.43028,284.481,2.53653,2.53563,0.0,0.0,74.2574,500.0,0.0
284.571,5.90918,787.522,7.42839,284.571,2.53762,2.53617,0.0,0.0,74.2574,500.0,0.0
284.806,5.5957,788.065,7.42522,284.806,2.53852,2.53671,0.0,0.0,74.2574,500.0,0.0
284.752,5.28223,787.884,7.42522,284.752,2.53924,2.53707,0.0,0.0,74.2574,500.0,0.0
284.752,4.96875,787.613,7.42712,284.752,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
284.987,4.65527,787.884,7.44927,284.987,2.54015,2.53816,0.0,0.0,74.2574,500.0,0.0
284.987,4.96875,787.522,7.43218,284.987,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.969,4.65527,787.342,7.43028,284.969,2.53979,2.53834,0.0,0.0,74.2574,500.0,0.0
284.933,4.65527,787.884,7.44231,284.933,2.53979,2.5378,0.0,0.0,74.2574,500.0,0.0
284.969,4.81201,787.884,7.4575,284.969,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
284.878,4.96875,787.161,7.46193,284.878,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
284.897,4.96875,787.342,7.42522,284.897,2.53942,2.53816,0.0,0.0,74.2574,500.0,0.0
284.915,4.96875,787.251,7.42965,284.915,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
284.915,4.81201,787.161,7.42902,284.915,2.53979,2.53816,0.0,0.0,74.2574,500.0,0.0
284.951,4.96875,787.07,7.42712,284.951,2.53707,2.53563,0.0,0.0,74.2574,500.0,0.0
284.336,6.37939,787.251,7.42585,284.336,2.53743,2.53563,0.0,0.0,74.2574,500.0,0.0
284.39,6.06592,786.889,7.42459,284.39,2.53725,2.53545,0.0,0.0,74.2574,500.0,0.0
284.553,5.75244,787.794,7.42522,284.553,2.53906,2.53707,0.0,0.0,74.2574,500.0,0.0
284.734,5.12549,787.342,7.43028,284.734,2.5387,2.53689,0.0,0.0,74.2574,500.0,0.0
284.698,5.90918,787.522,7.43345,284.698,2.5387,2.53707,0.0,0.0,74.2574,500.0,0.0
284.589,5.43896,787.522,7.42522,284.589,2.53942,2.53798,0.0,0.0,74.2574,500.0,0.0
284.77,4.49854,786.889,7.43345,284.77,2.53979,2.53798,0.0,0.0,74.2574,500.0,0.0
284.842,4.65527,787.432,7.42585,284.842,2.53997,2.53816,0.0,0.0,74.2574,500.0,0.0
284.86,4.81201,787.794,7.45181,284.86,2.53906,2.53834,0.0,0.0,74.2574,500.0,0.0
284.824,5.12549,787.432,7.44991,284.824,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
284.86,4.81201,787.703,7.45054,284.86,2.53961,2.5378,0.0,0.0,74.2574,500.0,0.0
284.824,4.65527,787.432,7.42522,284.824,2.53942,2.53834,0.0,0.0,74.2574,500.0,0.0
284.77,4.96875,787.703,7.42522,284.77,2.53979,2.53834,0.0,0.0,74.2574,500.0,0.0
284.824,5.12549,787.07,7.42775,284.824,2.53961,2.53798,0.0,0.0,74.2574,500.0,0.0
284.77,5.12549,787.342,7.43282,284.77,2.53961,2.53816,0.0,0.0,74.2574,500.0,0.0
284.227,7.16309,787.613,7.43472,284.227,2.53635,2.53436,0.0,0.0,74.2574,500.0,0.0
284.336,6.37939,787.794,7.44484,284.336,2.53689,2.53545,0.0,0.0,74.2574,500.0,0.0
284.246,6.69287,787.432,7.46889,284.246,2.53743,2.53526,0.0,0.0,74.2574,500.0,0.0
284.444,6.06592,787.703,7.43598,284.444,2.53762,2.53617,0.0,0.0,74.2574,500.0,0.0
284.535,5.90918,787.432,7.43598,284.535,2.5387,2.53707,0.0,0.0,74.2574,500.0,0.0
